symbol,security_id,exchange_segment,instrument,expiry_code,fast_ema,slow_ema
COTTONCNDY SEP FUT,450654,MCX_COMM,FUTCOM,0,9,21
CRUDEOIL SEP FUT,452373,MCX_COMM,FUTCOM,0,9,21
CRUDEOILM SEP FUT,452374,MCX_COMM,FUTCOM,0,9,21
NATURALGAS SEP FUT,452643,MCX_COMM,FUTCOM,0,9,21
NATURALGASM SEP FUT,452644,MCX_COMM,FUTCOM,0,9,21
MENTHAOIL SEP FUT,452855,MCX_COMM,FUTCOM,0,9,21
ALUMINI SEP FUT,456953,MCX_COMM,FUTCOM,0,9,21
ALUMINIUM SEP FUT,456954,MCX_COMM,FUTCOM,0,9,21
COPPER SEP FUT,456955,MCX_COMM,FUTCOM,0,9,21
LEAD SEP FUT,456956,MCX_COMM,FUTCOM,0,9,21
LEADMINI SEP FUT,456957,MCX_COMM,FUTCOM,0,9,21
ZINC SEP FUT,456959,MCX_COMM,FUTCOM,0,9,21
ZINCMINI SEP FUT,456960,MCX_COMM,FUTCOM,0,9,21
STEELREBAR SEP FUT,456961,MCX_COMM,FUTCOM,0,9,21
GOLDGUINEA SEP FUT,458302,MCX_COMM,FUTCOM,0,9,21
GOLDPETAL SEP FUT,458303,MCX_COMM,FUTCOM,0,9,21
COTTONOIL SEP FUT,458306,MCX_COMM,FUTCOM,0,9,21
MCXMETLDEX SEP FUT,459282,MCX_COMM,FUTCOM,0,9,21
MCXBULLDEX SEP FUT,462761,MCX_COMM,FUTCOM,0,9,21
GOLDTEN SEP FUT,463267,MCX_COMM,FUTCOM,0,9,21
ELECDMBL SEP FUT,463397,MCX_COMM,FUTCOM,0,9,21
CARDAMOM SEP FUT,465832,MCX_COMM,FUTCOM,0,9,21
NICKEL SEP FUT,466571,MCX_COMM,FUTCOM,0,9,21
SAMMAANCAP SEP FUT,49081,NSE_FNO,FUTSTK,0,9,21
NUVAMA SEP FUT,52476,NSE_FNO,FUTSTK,0,9,21
SUZLON SEP FUT,52524,NSE_FNO,FUTSTK,0,9,21
BANKNIFTY SEP FUT,52995,NSE_FNO,FUTSTK,0,9,21
FINNIFTY SEP FUT,52997,NSE_FNO,FUTSTK,0,9,21
MIDCPNIFTY SEP FUT,52998,NSE_FNO,FUTSTK,0,9,21
NIFTY SEP FUT,53001,NSE_FNO,FUTSTK,0,9,21
NIFTYNXT50 SEP FUT,53002,NSE_FNO,FUTSTK,0,9,21
360ONE SEP FUT,53011,NSE_FNO,FUTSTK,0,9,21
ABB SEP FUT,53012,NSE_FNO,FUTSTK,0,9,21
ABCAPITAL SEP FUT,53013,NSE_FNO,FUTSTK,0,9,21
ADANIENSOL SEP FUT,53014,NSE_FNO,FUTSTK,0,9,21
ADANIENT SEP FUT,53015,NSE_FNO,FUTSTK,0,9,21
ADANIGREEN SEP FUT,53016,NSE_FNO,FUTSTK,0,9,21
ADANIPORTS SEP FUT,53020,NSE_FNO,FUTSTK,0,9,21
ALKEM SEP FUT,53021,NSE_FNO,FUTSTK,0,9,21
AMBER SEP FUT,53031,NSE_FNO,FUTSTK,0,9,21
AMBUJACEM SEP FUT,53032,NSE_FNO,FUTSTK,0,9,21
ANGELONE SEP FUT,53033,NSE_FNO,FUTSTK,0,9,21
APLAPOLLO SEP FUT,53034,NSE_FNO,FUTSTK,0,9,21
APOLLOHOSP SEP FUT,53036,NSE_FNO,FUTSTK,0,9,21
ASHOKLEY SEP FUT,53037,NSE_FNO,FUTSTK,0,9,21
ASIANPAINT SEP FUT,53039,NSE_FNO,FUTSTK,0,9,21
ASTRAL SEP FUT,53040,NSE_FNO,FUTSTK,0,9,21
AUBANK SEP FUT,53041,NSE_FNO,FUTSTK,0,9,21
AUROPHARMA SEP FUT,53042,NSE_FNO,FUTSTK,0,9,21
AXISBANK SEP FUT,53043,NSE_FNO,FUTSTK,0,9,21
BAJAJ-AUTO SEP FUT,53044,NSE_FNO,FUTSTK,0,9,21
BAJAJFINSV SEP FUT,53045,NSE_FNO,FUTSTK,0,9,21
BAJFINANCE SEP FUT,53046,NSE_FNO,FUTSTK,0,9,21
BANDHANBNK SEP FUT,53047,NSE_FNO,FUTSTK,0,9,21
BANKBARODA SEP FUT,53048,NSE_FNO,FUTSTK,0,9,21
BANKINDIA SEP FUT,53049,NSE_FNO,FUTSTK,0,9,21
BDL SEP FUT,53050,NSE_FNO,FUTSTK,0,9,21
BEL SEP FUT,53051,NSE_FNO,FUTSTK,0,9,21
BHARATFORG SEP FUT,53052,NSE_FNO,FUTSTK,0,9,21
BHARTIARTL SEP FUT,53055,NSE_FNO,FUTSTK,0,9,21
BHEL SEP FUT,53056,NSE_FNO,FUTSTK,0,9,21
BIOCON SEP FUT,53057,NSE_FNO,FUTSTK,0,9,21
BLUESTARCO SEP FUT,53058,NSE_FNO,FUTSTK,0,9,21
BOSCHLTD SEP FUT,53059,NSE_FNO,FUTSTK,0,9,21
BPCL SEP FUT,53060,NSE_FNO,FUTSTK,0,9,21
BRITANNIA SEP FUT,53061,NSE_FNO,FUTSTK,0,9,21
BSE SEP FUT,53062,NSE_FNO,FUTSTK,0,9,21
CAMS SEP FUT,53063,NSE_FNO,FUTSTK,0,9,21
CANBK SEP FUT,53064,NSE_FNO,FUTSTK,0,9,21
CDSL SEP FUT,53065,NSE_FNO,FUTSTK,0,9,21
CGPOWER SEP FUT,53066,NSE_FNO,FUTSTK,0,9,21
CHOLAFIN SEP FUT,53068,NSE_FNO,FUTSTK,0,9,21
CIPLA SEP FUT,53069,NSE_FNO,FUTSTK,0,9,21
COALINDIA SEP FUT,53071,NSE_FNO,FUTSTK,0,9,21
COFORGE SEP FUT,53086,NSE_FNO,FUTSTK,0,9,21
COLPAL SEP FUT,53087,NSE_FNO,FUTSTK,0,9,21
CONCOR SEP FUT,53104,NSE_FNO,FUTSTK,0,9,21
CROMPTON SEP FUT,53105,NSE_FNO,FUTSTK,0,9,21
CUMMINSIND SEP FUT,53121,NSE_FNO,FUTSTK,0,9,21
CYIENT SEP FUT,53122,NSE_FNO,FUTSTK,0,9,21
DABUR SEP FUT,53131,NSE_FNO,FUTSTK,0,9,21
DALBHARAT SEP FUT,53132,NSE_FNO,FUTSTK,0,9,21
DELHIVERY SEP FUT,53133,NSE_FNO,FUTSTK,0,9,21
DIVISLAB SEP FUT,53134,NSE_FNO,FUTSTK,0,9,21
DIXON SEP FUT,53135,NSE_FNO,FUTSTK,0,9,21
DLF SEP FUT,53136,NSE_FNO,FUTSTK,0,9,21
DMART SEP FUT,53138,NSE_FNO,FUTSTK,0,9,21
DRREDDY SEP FUT,53139,NSE_FNO,FUTSTK,0,9,21
EICHERMOT SEP FUT,53149,NSE_FNO,FUTSTK,0,9,21
ETERNAL SEP FUT,53150,NSE_FNO,FUTSTK,0,9,21
EXIDEIND SEP FUT,53151,NSE_FNO,FUTSTK,0,9,21
FEDERALBNK SEP FUT,53152,NSE_FNO,FUTSTK,0,9,21
FORTIS SEP FUT,53154,NSE_FNO,FUTSTK,0,9,21
GAIL SEP FUT,53159,NSE_FNO,FUTSTK,0,9,21
GLENMARK SEP FUT,53160,NSE_FNO,FUTSTK,0,9,21
GMRAIRPORT SEP FUT,53161,NSE_FNO,FUTSTK,0,9,21
GODREJCP SEP FUT,53162,NSE_FNO,FUTSTK,0,9,21
GODREJPROP SEP FUT,53163,NSE_FNO,FUTSTK,0,9,21
GRASIM SEP FUT,53164,NSE_FNO,FUTSTK,0,9,21
HAL SEP FUT,53165,NSE_FNO,FUTSTK,0,9,21
HAVELLS SEP FUT,53166,NSE_FNO,FUTSTK,0,9,21
HCLTECH SEP FUT,53169,NSE_FNO,FUTSTK,0,9,21
HDFCAMC SEP FUT,53170,NSE_FNO,FUTSTK,0,9,21
HDFCBANK SEP FUT,53171,NSE_FNO,FUTSTK,0,9,21
HDFCLIFE SEP FUT,53172,NSE_FNO,FUTSTK,0,9,21
HEROMOTOCO SEP FUT,53173,NSE_FNO,FUTSTK,0,9,21
HFCL SEP FUT,53174,NSE_FNO,FUTSTK,0,9,21
HINDALCO SEP FUT,53175,NSE_FNO,FUTSTK,0,9,21
HINDPETRO SEP FUT,53176,NSE_FNO,FUTSTK,0,9,21
HINDUNILVR SEP FUT,53185,NSE_FNO,FUTSTK,0,9,21
HINDZINC SEP FUT,53186,NSE_FNO,FUTSTK,0,9,21
HUDCO SEP FUT,53187,NSE_FNO,FUTSTK,0,9,21
